name,location,property_type,accommodates,amenities,price,min_nights,max_nights,review_rating,tags
stylish & bright 2 bed 2 bath lower level retreat,princess-rosethorn,entire home,4,"55 inch hdtv, wine glasses, wifi, freezer, pets allowed, blender, dining table, kitchen, hot water, board games, shampoo, private entrance, shower gel, clothing storage, baking sheet, first aid kit, bathtub, room-darkening shades, coffee, keypad, dishes and silverware, free dryer – in unit, central air conditioning, dedicated workspace, free washer – in unit, induction stove, free parking on premises, toaster, iron, dishwasher, central heating, conditioner, cooking basics, smoke alarm, coffee maker: drip coffee maker, barbecue utensils, self check-in, cleaning available during stay, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, fire extinguisher, microwave, single oven, hot water kettle, essentials, refrigerator, bed linens, long term stays allowed, body soap",106.0,29,365,5.0,"bath, bright, stylish"
private one bedroom apartment,brookhaven-amesbury,entire condo,2,"wifi, ethernet connection, freezer, children’s dinnerware, laundromat nearby, window ac unit, dining table, kitchen, hot water, first aid kit, outlet covers, bathtub, stove, dishes and silverware, tv, free dryer – in unit, host greets you, dedicated workspace, free washer – in unit, free parking on premises, clothing storage: closet and dresser, iron, baby bath, central heating, cooking basics, smoke alarm, oven, baby safety gates, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, portable fans, fire extinguisher, long term stays allowed, hot water kettle, essentials, refrigerator, exercise equipment, ceiling fan, bed linens, portable heater, body soap",195.0,30,90,4.75,"apartment, private"
"private room #3_toronto close to everything,ttc",eglinton east,private room in home,1,"lockbox, drying rack for clothing, wine glasses, paid parking on premises, wifi, ethernet connection, freezer, laundromat nearby, blender, free washer – in building, dining table, kitchen, hot water, private entrance, shampoo, free street parking, shower gel, baking sheet, first aid kit, outdoor furniture, bikes, bathtub, room-darkening shades, stove, coffee, ev charger, dishes and silverware, hdtv, free dryer – in unit, central air conditioning, lock on bedroom door, dedicated workspace, shared patio or balcony, free parking on premises, toaster, iron, central heating, conditioner, cooking basics, smoke alarm, private backyard – fully fenced, oven, barbecue utensils, self check-in, cleaning available during stay, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, fire extinguisher, microwave, clothing storage: walk-in closet, coffee maker, hot water kettle, essentials, refrigerator, resort access, bed linens, outdoor playground, long term stays allowed, bbq grill, body soap",63.0,28,1125,4.7,"private, private room"
"modern, near transit, supermarket, free parking",briar hill-belgravia,private room in home,2,"drying rack for clothing, wine glasses, wifi, freezer, bread maker, laundromat nearby, blender, dining table, kitchen, hot water, welcome starter kit body soap, rice maker, private entrance, free street parking, exterior security cameras on property, shower gel, baking sheet, first aid kit, luggage dropoff allowed, books and reading material, whirlpool stainless steel electric stove, bathtub, room-darkening shades, coffee, dishes and silverware, central air conditioning, lock on bedroom door, host greets you, whirlpool refrigerator, dedicated workspace, clothing storage: closet and dresser, iron, dishwasher, central heating, cooking basics, private backyard – fully fenced, smoke alarm, mosquito net, barbecue utensils, welcome starter kit conditioner, welcome starter kit shampoo, cleaning available during stay, free driveway parking on premises – 3 spaces, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, fire extinguisher, microwave, coffee maker: french press, keurig coffee machine, pour-over coffee, hot water kettle, paid washer – in unit, essentials, whirlpool stainless steel single oven, paid dryer – in unit, mini fridge, bed linens, long term stays allowed, toaster",88.0,2,300,5.0,"free parking, king, modern, parking"
new 1 bdrm + den condo,moss park,entire rental unit,4,"single level home, outdoor dining area, kitchen, hot water, shampoo, building staff, outdoor furniture, elevator, luggage dropoff allowed, park view, 50 inch hdtv with chromecast, bathtub, room-darkening shades, fast wifi – 827 mbps, stove, lake view, dryer, dishes and silverware, washer, dedicated workspace, iron, dishwasher, paid parking off premises, city skyline view, cooking basics, smoke alarm, self check-in, oven, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, fire extinguisher, microwave, private patio or balcony, air conditioning, shared gym in building, essentials, lake access, refrigerator, heating, exercise equipment, bed linens, pocket wifi, bbq grill",243.0,2,180,4.78,condo
elevated living at the heart of toronto,waterfront communities-the island,entire condo,4,"lockbox, wine glasses, paid parking on premises, wifi, freezer, kitchen, hot water, shampoo, clothing storage, shower gel, first aid kit, pool, stove, coffee, dryer, dishes and silverware, tv, washer, dedicated workspace, dishwasher, conditioner, cooking basics, smoke alarm, self check-in, oven, hair dryer, fire extinguisher, carbon monoxide alarm, cleaning products, microwave, air conditioning, coffee maker, hot water kettle, essentials, refrigerator, heating, bed linens, toaster",221.0,2,365,5.0,waterfront
"master br, ace location, lake view, path connected",waterfront communities-the island,private room in condo,1,"paid parking on premises, wifi, kitchen, hot water, shampoo, elevator, luggage dropoff allowed, stove, dryer, dishes and silverware, washer, lock on bedroom door, host greets you, tv with standard cable, iron, cooking basics, smoke alarm, oven, hangers, hair dryer, fire extinguisher, extra pillows and blankets, carbon monoxide alarm, microwave, patio or balcony, air conditioning, waterfront, essentials, refrigerator, heating, bed linens, long term stays allowed",77.0,28,365,5.0,"master, view, waterfront"
one bedroom luxury condo w free parking & gym,woburn,entire rental unit,3,"lockbox, wine glasses, wifi, dining table, kitchen, hot water, shampoo, clothing storage, shower gel, books and reading material, bathtub, room-darkening shades, stove, coffee, dryer, dishes and silverware, washer, dedicated workspace, free parking on premises, iron, dishwasher, cooking basics, smoke alarm, self check-in, oven, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, microwave, air conditioning, coffee maker, hot water kettle, essentials, refrigerator, heating, exercise equipment, bed linens",259.0,1,365,4.88,"condo, free parking, king, luxury, parking"
stylish chic 1br condo in downtown toronto,waterfront communities-the island,entire condo,3,"wifi, freezer, dining table, kitchen, shampoo, clothing storage, baking sheet, first aid kit, elevator, bathtub, stove, dishes and silverware, free dryer – in unit, central air conditioning, dedicated workspace, free washer – in unit, toaster, iron, dishwasher, central heating, paid parking off premises, conditioner, cooking basics, smoke alarm, oven, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, fire extinguisher, microwave, patio or balcony, coffee maker, hot water kettle, essentials, refrigerator, bed linens, 55 inch tv, long term stays allowed, body soap, housekeeping - available at extra cost",191.0,1,365,4.82,"condo, downtown, stylish, waterfront"
luxurious modern 7b3.5b home + magnificent patio,l'amoreaux,entire home,16,"wifi, freezer, indoor fireplace, outdoor dining area, dining table, kitchen, hot water, private entrance, shampoo, exterior security cameras on property, shower gel, baking sheet, first aid kit, outdoor furniture, clothing storage: closet, room-darkening shades, stove, coffee, dishes and silverware, tv, free dryer – in unit, washer, backyard, dedicated workspace, toaster, iron, dishwasher, central heating, conditioner, cooking basics, smoke alarm, self check-in, oven, barbecue utensils, crib, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, microwave, patio or balcony, pack ’n play/travel crib - always at the listing, air conditioning, coffee maker, hot water kettle, essentials, refrigerator, smart lock, free parking garage on premises, bed linens, bbq grill, body soap",248.0,28,365,4.88,"luxurious, modern"
